weighted_error, threshold, feature, weight_alpha
6.411657559198556955e-01,-8.934600000000000319e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-8.928859999999999575e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-8.921909999999999563e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-8.921299999999999786e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-8.918559999999999821e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-8.910660000000000247e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-8.903809999999999780e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-8.902170000000000361e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-8.902170000000000361e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.429872495446280478e-01,-8.894549999999999956e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.411657559198556955e-01,-8.891679999999999584e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-8.890230000000000077e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.375227686703109908e-01,-8.888380000000000170e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.393442622950833432e-01,-8.885009999999999852e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.375227686703109908e-01,-8.884729999999999572e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.357012750455386385e-01,-8.878509999999999458e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.338797814207662862e-01,-8.877549999999999608e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.320582877959939339e-01,-8.865720000000000267e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.320582877959939339e-01,-8.865720000000000267e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.284153005464492292e-01,-8.863600000000000367e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.859609999999999985e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.858559999999999768e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.853980000000000183e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.853119999999999878e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.851689999999999836e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.284153005464492292e-01,-8.851179999999999604e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.845399999999999929e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.284153005464492292e-01,-8.844440000000000079e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.265938069216768769e-01,-8.843839999999999479e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.837439999999999740e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.830480000000000551e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.829869999999999663e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.823900000000000077e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.816889999999999450e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.813530000000000530e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.811449999999999561e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.811179999999999568e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.800759999999999694e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.799169999999999492e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.795530000000000292e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.789970000000000283e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.784380000000000521e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.783410000000000384e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.782790000000000319e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.768129999999999535e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.767160000000000508e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.755840000000000289e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.754690000000000527e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.754239999999999799e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.754239999999999799e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.601069999999999549e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.211293260473598199e-01,-8.598090000000000455e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.596709999999999630e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.578069999999999862e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.576799999999999979e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.247723132969045245e-01,-8.576270000000000282e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.575690000000000257e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.229508196721321722e-01,-8.575690000000000257e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.193078324225874676e-01,-8.575540000000000385e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.174863387978151152e-01,-8.574079999999999480e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.156648451730427629e-01,-8.567869999999999653e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.138433515482704106e-01,-8.562100000000000266e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.120218579234980583e-01,-8.551710000000000145e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.138433515482704106e-01,-8.548409999999999620e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.156648451730427629e-01,-8.547090000000000520e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.138433515482704106e-01,-8.539809999999999901e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.120218579234980583e-01,-8.538679999999999604e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.102003642987257059e-01,-8.538010000000000321e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.120218579234980583e-01,-8.536789999999999656e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.138433515482704106e-01,-8.534540000000000459e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.120218579234980583e-01,-8.529970000000000052e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.102003642987257059e-01,-8.528419999999999890e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.083788706739533536e-01,-8.526679999999999815e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.102003642987257059e-01,-8.525430000000000508e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.120218579234980583e-01,-8.519569999999999643e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.102003642987257059e-01,-8.516299999999999981e-01,-1.000000000000000000e+00,1.000000000000000000e+00
6.120218579234980583e-01,-8.513220000000000232e-01,-1.000000000000000000e+00,1.000000000000000000e+00
